title,year,duration,genre,rating,movie_url
The Bridge on the River Kwai ,1957,2h 41min,Adventure,8.1,https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt
On the Waterfront ,1954,1h 48min,Crime,8.1,https://www.imdb.com/title/tt0047296/?ref_=adv_li_tt
Ben-Hur ,1959,3h 32min,Adventure,8.1,https://www.imdb.com/title/tt0052618/?ref_=adv_li_tt
The 400 Blows ,1959,1h 39min,Crime,8.1,https://www.imdb.com/title/tt0053198/?ref_=adv_li_tt
Persona ,1966,1h 23min,Drama,8.1,https://www.imdb.com/title/tt0060827/?ref_=adv_li_tt
Network ,1976,2h 1min,Drama,8.1,https://www.imdb.com/title/tt0074958/?ref_=adv_li_tt
Barry Lyndon ,1975,3h 5min,Adventure,8.1,https://www.imdb.com/title/tt0072684/?ref_=adv_li_tt
Rocky ,1976,2h,Drama,8.1,https://www.imdb.com/title/tt0075148/?ref_=adv_li_tt
Cool Hand Luke ,1967,2h 7min,Crime,8.1,https://www.imdb.com/title/tt0061512/?ref_=adv_li_tt
Monty Python's Life of Brian ,1979,1h 34min,Comedy,8.1,https://www.imdb.com/title/tt0079470/?ref_=adv_li_tt
The Deer Hunter ,1978,3h 3min,Drama,8.1,https://www.imdb.com/title/tt0077416/?ref_=adv_li_tt
The Elephant Man ,1980,2h 4min,Biography,8.1,https://www.imdb.com/title/tt0080678/?ref_=adv_li_tt
Nausicaä of the Valley of the Wind ,1984,1h 57min,Animation,8.1,https://www.imdb.com/title/tt0087544/?ref_=adv_li_tt
Blade Runner ,1982,1h 57min,Action,8.1,https://www.imdb.com/title/tt0083658/?ref_=adv_li_tt
The Thing ,1982,1h 49min,Horror,8.1,https://www.imdb.com/title/tt0084787/?ref_=adv_li_tt
Platoon ,1986,2h,Drama,8.1,https://www.imdb.com/title/tt0091763/?ref_=adv_li_tt
Stand by Me ,1986,1h 29min,Adventure,8.1,https://www.imdb.com/title/tt0092005/?ref_=adv_li_tt
"Paris, Texas ",1984,2h 25min,Drama,8.1,https://www.imdb.com/title/tt0087884/?ref_=adv_li_tt
Dead Poets Society ,1989,2h 8min,Comedy,8.1,https://www.imdb.com/title/tt0097165/?ref_=adv_li_tt
The Princess Bride ,1987,1h 38min,Adventure,8.1,https://www.imdb.com/title/tt0093779/?ref_=adv_li_tt
In the Name of the Father ,1993,2h 13min,Biography,8.1,https://www.imdb.com/title/tt0107207/?ref_=adv_li_tt
La Haine ,1995,1h 38min,Crime,8.1,https://www.imdb.com/title/tt0113247/?ref_=adv_li_tt
Jurassic Park ,1993,2h 7min,Action,8.1,https://www.imdb.com/title/tt0107290/?ref_=adv_li_tt
Trainspotting ,1996,1h 33min,Drama,8.1,https://www.imdb.com/title/tt0117951/?ref_=adv_li_tt
Before Sunrise ,1995,1h 41min,Drama,8.1,https://www.imdb.com/title/tt0112471/?ref_=adv_li_tt
In the Mood for Love ,2000,1h 38min,Drama,8.1,https://www.imdb.com/title/tt0118694/?ref_=adv_li_tt
The Big Lebowski ,1998,1h 57min,Comedy,8.1,https://www.imdb.com/title/tt0118715/?ref_=adv_li_tt
The Truman Show ,1998,1h 43min,Comedy,8.1,https://www.imdb.com/title/tt0120382/?ref_=adv_li_tt
Fargo ,1996,1h 38min,Crime,8.1,https://www.imdb.com/title/tt0116282/?ref_=adv_li_tt
The Sixth Sense ,1999,1h 47min,Drama,8.1,https://www.imdb.com/title/tt0167404/?ref_=adv_li_tt
Lagaan: Once Upon a Time in India ,2001,3h 44min,Adventure,8.1,https://www.imdb.com/title/tt0169102/?ref_=adv_li_tt
Amores Perros ,2000,2h 34min,Drama,8.1,https://www.imdb.com/title/tt0245712/?ref_=adv_li_tt
Mad Max: Fury Road ,2015,2h,Action,8.1,https://www.imdb.com/title/tt1392190/?ref_=adv_li_tt
The Help ,2011,2h 26min,Drama,8.1,https://www.imdb.com/title/tt1454029/?ref_=adv_li_tt
Ford v Ferrari ,2019,2h 32min,Action,8.1,https://www.imdb.com/title/tt1950186/?ref_=adv_li_tt
Rush ,2013,2h 3min,Biography,8.1,https://www.imdb.com/title/tt1979320/?ref_=adv_li_tt
Prisoners ,2013,2h 33min,Crime,8.1,https://www.imdb.com/title/tt1392214/?ref_=adv_li_tt
Spotlight ,2015,2h 9min,Biography,8.1,https://www.imdb.com/title/tt1895587/?ref_=adv_li_tt
12 Years a Slave ,2013,2h 14min,Biography,8.1,https://www.imdb.com/title/tt2024544/?ref_=adv_li_tt
Hacksaw Ridge ,2016,2h 19min,Biography,8.1,https://www.imdb.com/title/tt2119532/?ref_=adv_li_tt
Gone Girl ,2014,2h 29min,Drama,8.1,https://www.imdb.com/title/tt2267998/?ref_=adv_li_tt
Room ,2015,1h 58min,Drama,8.1,https://www.imdb.com/title/tt3170832/?ref_=adv_li_tt
PK ,2014,2h 33min,Comedy,8.1,https://www.imdb.com/title/tt2338151/?ref_=adv_li_tt
Wild Tales ,2014,2h 2min,Comedy,8.1,https://www.imdb.com/title/tt3011894/?ref_=adv_li_tt
The Handmaiden ,2016,2h 25min,Drama,8.1,https://www.imdb.com/title/tt4016934/?ref_=adv_li_tt
Logan ,2017,2h 17min,Action,8.1,https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt
The Grand Budapest Hotel ,2014,1h 39min,Adventure,8.1,https://www.imdb.com/title/tt2278388/?ref_=adv_li_tt
Sherlock Jr. ,1924,45min,Action,8.2,https://www.imdb.com/title/tt0015324/?ref_=adv_li_tt
The Invisible Guest ,2016,1h 46min,Crime,8.1,https://www.imdb.com/title/tt4857264/?ref_=adv_li_tt
The Gold Rush ,1925,1h 35min,Adventure,8.2,https://www.imdb.com/title/tt0015864/?ref_=adv_li_tt
All About Eve ,1950,2h 18min,Drama,8.2,https://www.imdb.com/title/tt0042192/?ref_=adv_li_tt
The Red Shoes ,1948,2h 15min,Drama,8.2,https://www.imdb.com/title/tt0040725/?ref_=adv_li_tt
The Treasure of the Sierra Madre ,1948,2h 6min,Adventure,8.2,https://www.imdb.com/title/tt0040897/?ref_=adv_li_tt
Tokyo Story ,1953,2h 16min,Drama,8.2,https://www.imdb.com/title/tt0046438/?ref_=adv_li_tt
Rashomon ,1950,1h 28min,Crime,8.2,https://www.imdb.com/title/tt0042876/?ref_=adv_li_tt
Dial M for Murder ,1954,1h 45min,Crime,8.2,https://www.imdb.com/title/tt0046912/?ref_=adv_li_tt
The Seventh Seal ,1957,1h 36min,Drama,8.2,https://www.imdb.com/title/tt0050976/?ref_=adv_li_tt
Wild Strawberries ,1957,1h 31min,Drama,8.2,https://www.imdb.com/title/tt0050986/?ref_=adv_li_tt
Judgment at Nuremberg ,1961,2h 59min,Drama,8.2,https://www.imdb.com/title/tt0055031/?ref_=adv_li_tt
To Kill a Mockingbird ,1962,2h 9min,Crime,8.2,https://www.imdb.com/title/tt0056592/?ref_=adv_li_tt
The Great Escape ,1963,2h 52min,Adventure,8.2,https://www.imdb.com/title/tt0057115/?ref_=adv_li_tt
Some Like It Hot ,1959,2h 1min,Comedy,8.2,https://www.imdb.com/title/tt0053291/?ref_=adv_li_tt
Chinatown ,1974,2h 10min,Drama,8.2,https://www.imdb.com/title/tt0071315/?ref_=adv_li_tt
Yojimbo ,1961,1h 50min,Action,8.2,https://www.imdb.com/title/tt0055630/?ref_=adv_li_tt
